par_id,art_id,keyword,country_code,text,label,reworded
280,@@2241348,poor-families,za,"The growing black middle class , , amongst other things , owes its success to the educational opportunities provided by our government . Some of the new black professional and middle classes were from poor families and from within the ranks of the working class . We need to be proud of all these achievements as the country celebrates 20 years of democracy .",1,"The expanding black middle class owes much of its success to the educational opportunities made available by our government. Many individuals in the new black professional and middle classes come from low-income backgrounds and working-class families. As the nation marks 20 years of democracy, we should take pride in these accomplishments."
282,@@4649746,homeless,bd,"Why is the voting turn-out so poor in rich countries like America , whose GDP may be high but which still has a vast majority of homeless and poor people ? Democracy is not the solution to everything and most countries still do not practice democracy to its full meaning . Poor countries need to show they are democratic to play the field in globalisation and modernisation and get their poor to the voting pool , who would in many cases much rather just be working on their fields as politicians never really did much for them anyway .",1,"What accounts for the low voter turnout in wealthy nations like America, which, despite having a high GDP, still harbors a significant number of homeless and impoverished individuals? Democracy doesn’t solve every problem, and many countries still fail to fully embrace its principles. For poorer nations, demonstrating democratic practices is essential to engage in globalization and modernization, and to encourage their underprivileged citizens to participate in elections, who often prefer to focus on their farming rather than voting, since politicians have historically done little to improve their circumstances."
287,@@7590098,women,pk,"DERA MURAD JAMALI : Slamming the customs and traditions usurping the rights of women , speakers at a seminar demanded on Tuesday that the government should ensure giving them their rights .",1,"DERA MURAD JAMALI: Criticizing the customs and traditions that infringe upon women's rights, speakers at a seminar on Tuesday urged the government to guarantee these rights for women."
338,@@3020402,homeless,ca,"Imagine being a homeless person , walking the streets of downtown Calgary on bitterly cold evenings .",1,Picture yourself as a homeless individual navigating the frigid streets of downtown Calgary on painfully cold nights.
343,@@16043067,in-need,nz,"Helen Schafer chose to help a family in need . "" Rather than sending out gifts to my clients , I 've sent them a letter effectively saying : ' This is what we 're going to do because it feels a hell of a lot more meaningful ' . """,1,"Helen Schafer decided to assist a family in need. ""Instead of sending gifts to my clients, I opted to send them a letter that essentially says, 'This is what we’re going to do because it feels so much more meaningful.'"""
353,@@3230571,refugee,sg,""" These migrants , many of whom are refugees , are desperate for a better future , "" Ban said . "" We need to strengthen search and rescue operations , and stop the criminals who exploit the most vulnerable people . We need to address the roots of the problem . """,1,"""These migrants, many of whom are fleeing conflict, are in urgent need of a brighter future,"" Ban stated. ""It is essential that we enhance search and rescue efforts and put an end to the criminals who take advantage of the most vulnerable individuals. We must tackle the underlying causes of this issue."""
367,@@14629048,hopeless,gh,"The Acting Management Director noted that the Group would use their media platforms comprising Atinka FM in Accra , Atinka TV , Agenkwa FM in Kumasi and Ahoto FM in Takoradi to propagate their Corporate Social Responsibility activities to Ghanaians as well as how and when they would undertake them to give hope to the hopeless .",1,"The Acting Management Director highlighted that the Group plans to utilize their media outlets, including Atinka FM in Accra, Atinka TV, Agenkwa FM in Kumasi, and Ahoto FM in Takoradi, to share information about their Corporate Social Responsibility initiatives with Ghanaians, detailing how and when these activities will take place to inspire hope among those in need."
372,@@9103883,refugee,ie,"Talking about the desperation of refugees she said , "" Words are inadequate to describe the magnitude of the catastrophe which has been caused right now by closing the door to thousands of families , single people and little kids .",1,"Discussing the plight of refugees, she stated, ""Words fall short in capturing the scale of the disaster resulting from shutting the door on countless families, individuals, and young children."""
381,@@16393278,homeless,my,"She asks , with despair in her voice : "" What 's the point of cooking for the homeless when the homeless ca n't cook for themselves tomorrow ? "" Throwing her hands up in the air , she retorts : "" How was I supposed to start when I did n't have the funding ? """,1,"She inquires, her voice filled with despair, ""What’s the purpose of cooking for the homeless if they can’t prepare food for themselves tomorrow?"" Raising her hands in frustration, she responds, ""How was I supposed to begin when I lacked the funding?"""
382,@@1373666,in-need,us,"Dr. Lester Keith , doctor and professor of business administration , and others are checking with local transportation groups to see if they can bring those in need of a meal to the college for the 4 p.m. dinner . "" We will also be contacting local soup kitchens as a pickup location and will work with them to transport any leftovers to them so there is no wasted food , "" Dr. Keith said .",1,"Dr. Lester Keith, a physician and professor of business administration, along with others, is coordinating with local transportation agencies to facilitate rides for those needing a meal to the college for the 4 p.m. dinner. ""We will also reach out to local soup kitchens to serve as pickup points and collaborate with them to ensure any leftover food is transported there, preventing waste,"" Dr. Keith stated."
384,@@4613249,in-need,jm,""" A lot of people are in need of better roads , potable water , skills training , the education and health-care facilities that need to be developed . They all want it to happen at one time and you have to explain to them that it is a process ... and will not happen overnight . We have made a lot of achievements and I do hope that we will be able to convey fully what the vision is for the constituency and that persons will buy into exactly what we have been trying to do , "" he said .",1,"Many individuals are seeking improvements in roads, access to clean water, skills training, and the development of education and healthcare facilities. They desire these changes to occur all at once, but it’s important to clarify that it’s a gradual process that won’t happen instantly. We have made significant progress, and I hope we can effectively communicate our vision for the constituency so that people will understand and support our efforts, he stated."
406,@@22145541,immigrant,ng,"The vast southern borders of Libya are used as a crossing point for illegal immigrants desperate to reach Europe , due to poor security conditions in the region .",1,"The extensive southern borders of Libya serve as a passageway for illegal immigrants eager to reach Europe, largely due to the inadequate security situation in the area."
438,@@8782967,vulnerable,nz,"Instead of passively paying a sickness benefit for 40 years , for example , we want to take steps to intervene now to help vulnerable New Zealanders get a job , lead a better life , and save the Government money in the long run .",1,"Rather than simply providing a sickness benefit for 40 years, we aim to take proactive measures now to assist vulnerable New Zealanders in finding employment, improving their lives, and ultimately saving the Government money in the future."
441,@@14491425,migrant,gh,It is often a painful and frustrating experience for your visa to be refused . This is even more worrying in immigrant visa cases where the applicant 's plans of permanently settling with their family member in the U.S. or the DV lottery winner 's plans of making a new life in the U.S. takes a hit .,1,"Experiencing a visa denial can be a painful and frustrating ordeal. This is particularly concerning in cases involving immigrant visas, where the applicant's aspirations to settle permanently with a family member in the U.S. or the plans of a DV lottery winner to start a new life in the U.S. are significantly affected."
471,@@14067209,disabled,bd,He praised the government to enact several laws in favour of the disables but at the same time he criticised them saying only enacting laws and policies could not help the disabled to be independent .,1,"He commended the government for implementing several laws to support individuals with disabilities, but he also critiqued them, stating that merely passing laws and policies would not enable the disabled to achieve independence."
486,@@7717016,refugee,gb,"Visiting the camp on Tuesday , the European Union 's top migration official , Dimitris Avramopoulos , urged refugees to ignore ruthless smugglers , saying : "" By following the legal path , they will be able , one day , to live under better conditions . """,1,"During his visit to the camp on Tuesday, Dimitris Avramopoulos, the European Union's leading migration official, encouraged refugees to steer clear of heartless smugglers. He stated, ""By choosing the legal route, they will eventually be able to live in improved conditions."""
492,@@20554394,immigrant,au,""" It was a dream of a young immigrant who came to Australia with nothing but the intention to truly make a difference and I hope that work has made a real impact in many women 's lives . """,1,"It was the aspiration of a young immigrant who arrived in Australia with nothing but a desire to truly create change, and I hope that effort has positively influenced the lives of many women."
494,@@40021768,hopeless,lk,Can ? ? ? t help if people want to flee a beggar country and take up citizenship of a good country so that their children become educated . If they live in hopeless for ever Sri Lanka they will end up as maids and servants in prosperous India and China,1,"It’s understandable that people would want to leave a struggling country and seek citizenship in a more prosperous nation for the sake of their children's education. If they remain in a state of despair in Sri Lanka, they may find themselves relegated to roles as maids and servants in thriving countries like India and China."
496,@@26214070,refugee,hk,"Hundreds of thousands of Rohingya refugees living in sprawling camps in Bangladesh are celebrating the Muslim holiday of Eid al-Adha , praying for better lives as they wonder if they 'll ever again celebrate at their homes in Myanmar . People streamed into makeshift mosques in the camps , the children dressed in new clothing . Those who could afford it feasted on buffalo meat . Muslims often sla ...",1,"Hundreds of thousands of Rohingya refugees residing in extensive camps in Bangladesh are observing the Muslim holiday of Eid al-Adha, praying for improved circumstances while pondering whether they will ever celebrate this occasion in their homes in Myanmar again. People gathered in temporary mosques within the camps, with children wearing new outfits. Those who had the means enjoyed meals featuring buffalo meat. Muslims frequently sacrifice..."
508,@@23832980,in-need,bd,""" The United States respects and admires your nation 's compassionate response to those in need "" .",1,The United States holds great respect and admiration for your country's compassionate approach to assisting those in need.
514,@@10149340,in-need,ph,""" H.E.R.O . gives a chance to employees to reach out and help those who are in need , "" shares CEMEX treasury operations team lead in Asia Daisy delos Angeles . She also believes that employee volunteerism , like what they do , is indicative of employee-company 's unified mission to demonstrate concern for society .",1,"""H.E.R.O. provides employees with the opportunity to reach out and assist those in need,"" stated Daisy delos Angeles, the treasury operations team lead for CEMEX in Asia. She also believes that initiatives like employee volunteerism reflect the shared mission of employees and the company to show care for society."
516,@@14324577,hopeless,gh,The group believes that only a Nana Addo/Bawumia administration can arrest the depth of hopelessness that the youth have fallen into and restore the dreams of an inclusive and prosperous nation .,1,The group is convinced that only a Nana Addo/Bawumia administration can alleviate the profound sense of hopelessness experienced by the youth and revive their aspirations for a united and thriving nation.
528,@@4166008,poor-families,gb,"Saskia rallied her friends and family to help and became involved with Philani Child Health and Nutrition Project , which builds better shacks for poor families . Together , they were able to give baby formula milk to the grandmother who is looking after the twins , clothes and prams but , most importantly , extend their tiny shack .",1,"Saskia gathered her friends and family to assist and became involved with the Philani Child Health and Nutrition Project, which aims to improve living conditions for underprivileged families. Together, they provided baby formula to the grandmother caring for the twins, along with clothes and strollers, but most importantly, they helped to expand her small shack."
545,@@14978344,poor-families,ie,"This year TEAM HOPE shoeboxes from Ireland will go to street children , orphans , children in hospital , poor families , victims of war and other needy situations in Eastern Europe and former Soviet Union e.g. Romania , Kosovo , Albania and Africa e.g. Cameroon , Congo , Rwanda .",1,"This year, TEAM HOPE shoeboxes from Ireland will be distributed to street children, orphans, hospitalized children, impoverished families, war victims, and others in need across Eastern Europe and the former Soviet Union, including countries like Romania, Kosovo, and Albania, as well as in Africa, such as Cameroon, Congo, and Rwanda."
567,@@3586118,refugee,ph,"English actor Benedict Cumberbatch makes an emotional plea for Syrian refugees . Speaking on Thursday , September 10 , at a curtain call of a performance in London , he urged the audience to donate cash to Save the Children to support refugees .",1,"English actor Benedict Cumberbatch made a heartfelt appeal for Syrian refugees. During a curtain call at a performance in London on Thursday, September 10, he encouraged the audience to contribute financially to Save the Children to aid refugees."
589,@@25571999,in-need,gb,"Commenting on the recognition Ahmed Said Al Ibrahim General Manager &amp; Chief Corporate Services Officer noted : "" Blood donation helps healthcare institutions provide safe blood units for those in need of urgent blood transfer . We are honored to receive the recognition by the Ministry of Health represented by the Department of Blood Banks Services . The appreciation will motivate us to organize more blood donation drives . As we all know that donating blood is a noble thing to do and it helps safe lives and enhances the health and wellbeing of those who need it the most . """,1,"Commenting on the recognition, Ahmed Said Al Ibrahim, General Manager and Chief Corporate Services Officer, stated: ""Blood donation enables healthcare facilities to supply safe blood units for those urgently requiring transfusions. We are grateful to the Ministry of Health, represented by the Department of Blood Banks Services, for this acknowledgment. This recognition will inspire us to organize more blood donation campaigns. As we all know, donating blood is a noble act that saves lives and promotes the health and well-being of those who need it most."""
600,@@19599236,poor-families,za,He also gave out food to poor families selected by the local social development office .,1,He also distributed food to underprivileged families chosen by the local social development office.
604,@@16805483,homeless,gh,"As a result , millions of Syrians as well as peoples of other countries in the region have been made both homeless and hopeless .",1,"Consequently, millions of Syrians along with individuals from other countries in the region have been left both homeless and without hope."
606,@@25243686,vulnerable,gh,"Born a Christian , my HUMILITY and RESPECT for especially the elderly and young of our society is very firm , apt and intact . In like manner , my DEFENCE and JUSTICE for the helpless and vulnerable is very much same .",1,"Having been raised a Christian, my HUMILITY and RESPECT for both the elderly and the youth in our community are unwavering and deeply rooted. Similarly, my commitment to DEFENDING and seeking JUSTICE for the helpless and vulnerable remains just as strong."
625,@@4621126,women,bd,"Salina Hayat Ivy , Mayor of Narayanganj City Corporation said : "" Political party leaders should consider us as human beings rather than as women . If men changed their perspectives towards women , then we would have achieved success . """,1,"Salina Hayat Ivy, the Mayor of Narayanganj City Corporation, stated, ""Leaders of political parties need to view us as human beings instead of just women. If men were to shift their views about women, we would have made significant progress."""
635,@@21887650,poor-families,ng,"He would n't tolerate nonsense and he never allowed anybody to intimidate him . He was wealthy and very comfortable , and with his wealth was very generous and kind . In every three months , we had banquet for all the chiefs in my community . After that of chiefs , he would organise ours for us and the children from poor families . He used to tell us that being comfortable did not mean we were special , as God had created everyone equally .",1,"He wouldn't put up with any nonsense and never let anyone intimidate him. He was affluent and very comfortable, and he was also quite generous and kind with his wealth. Every three months, we held a banquet for all the chiefs in our community. Following that, he would organize a gathering for us and the children from less fortunate families. He often reminded us that being comfortable didn’t make us special, as God created everyone equally."
639,@@4633061,hopeless,my,""" For such patients , their future is desolating . They feel hopeless and worthless about their life , as there is no point in living if it 's to suffer in pain and misery and that is why suicide is the best option for them , "" said Dr. Mohd Jamil .",1,"""For these patients, the outlook is bleak. They experience feelings of hopelessness and worthlessness regarding their lives, believing there is no reason to continue if it only leads to pain and suffering, which is why they see suicide as the only viable option,"" Dr. Mohd Jamil stated."
661,@@19893235,hopeless,lk,"The common thieves then stole a crust of bread , the law came down upon the hungry heads ; the haughty land robber stole land with men resources and all contents . The first they said were a hopeless conviction . While they escaped the law by trick ; that grave , one-sided justice would not do -- the poor call for consideration , too . The cruel people started the unholy war , then from the line of action they kept far ; they pushed to the front sons of the poor , there to do battle , die , suffer galore , as the guns raged , liberty loans they raised , and in glorious tones , we sung freedom 's praise . Those who made wars should first went to the front , and of shot and shell bear there the brunt : In first lines of action they were all due , if to their country and people they were true : When this was demanded in right of all , there would have been no more deadly cannon balls : The downtrodden poor people of us joined together and prevented the Pakistani rulers our rights to purloin .",1,"The common thieves took a piece of bread, while the law came down hard on the hungry; meanwhile, the arrogant land robbers seized land along with its resources and everything else. The former were deemed a lost cause, while the latter evaded justice through deceit. This unjust, one-sided legal system was inadequate—the impoverished demanded consideration as well. The cruel instigators of the unjust war kept their distance from the frontline; instead, they sent the sons of the poor to fight, suffer, and die in battle, all while raising liberty loans and singing praises of freedom. Those who instigated wars should have been the first to face the dangers of combat, bearing the brunt of the violence themselves. If they were truly loyal to their country and its people, they should have led the charge. Had this been the case, there would have been no need for deadly cannon fire. The oppressed among us united to prevent the Pakistani rulers from stealing our rights."
665,@@30027702,vulnerable,gh,""" With your impeccable personal dignity , you elevated the Office of Secretary-General in a manner rarely seen . With incomparable diplomatic skill and to great effect , you utilised the power of your office to promote the cause of world peace and to protect the vulnerable . In so doing , you raised the name of the UN and the name of Ghana to new global heights . "" - Michael Kingsley-Nyinah , DPKO , New York .",1,"""Your outstanding personal integrity has significantly enhanced the role of Secretary-General in a way that is seldom witnessed. With unmatched diplomatic expertise and great effectiveness, you have harnessed the influence of your position to advocate for global peace and safeguard those in need. In doing so, you have elevated both the United Nations and Ghana to unprecedented levels on the world stage."" - Michael Kingsley-Nyinah, DPKO, New York."
668,@@16073148,in-need,sg,"He is more than just an employer to his staff , who include young people at risk and single parents . Food and rent are paid for , and he chips in for necessities like children 's allowances or transport fees if someone is in need . Every month , the trained prison counsellor also holds mentorship sessions for his staff .",1,"He is not merely an employer to his employees, which include at-risk youth and single parents. He covers food and rent, and also contributes to essentials like children's allowances or transportation costs when someone is in need. Additionally, each month, the trained prison counselor conducts mentorship sessions for his staff."
672,@@1812588,in-need,tz,"UCRT official , Dismas Partalala Meitaya said that not being in a position to fight for their own rights , the indigenous are in need of protection .",1,"UCRT official Dismas Partalala Meitaya stated that the indigenous people, unable to advocate for their own rights, require protection."
712,@@20389516,immigrant,us,"The fate of nearly 790,000 young undocumented immigrants is in the hands of a deeply divided Congress .",1,"The future of almost 790,000 young undocumented immigrants rests with a Congress that is significantly divided."
715,@@1852135,disabled,ke,Mombasa county team manager Anisa Abdala called on the corporate community to sponsor various teams as a way of showing solidarity with the disabled .,1,Mombasa County team manager Anisa Abdala urged the corporate sector to support various teams as a means of demonstrating solidarity with individuals with disabilities.
717,@@21283598,in-need,za,"This year in recognition of their ongoing dedication and charitable sacrifice to help all those in need through mutual help , true comradeship and sound memory over the past 90 years , the MOTHs of the Better ' Ole Shellhole will stand proudly to attention as Guard of Honour and sentries for the duration of this year 's Wayside Cross Remembrance Ceremony .",1,"This year, in acknowledgment of their unwavering commitment and selfless contributions to assist those in need through mutual support, genuine camaraderie, and lasting remembrance over the past 90 years, the MOTHs of the Better 'Ole Shellhole will proudly serve as a Guard of Honour and sentinels throughout this year's Wayside Cross Remembrance Ceremony."
763,@@7691904,migrant,gh,Part of the result now is the massive exodus of Africans from the continent to seek greener pastures in Europe . It is sad to see scores of young people die trying to cross the Sahara and Mediterranean into paradise . It is sad when our televisions show hundreds of immigrants trapped between the sea and fenced territories in Europe because they can not enter . What are they fleeing from ; why ca n't they stay at home ? This indeed is a million dollar question . They are fleeing from mismanaged economies that could have otherwise done well ; they are fleeing from years of bad politicking which has given birth to some of the worst policies the world has ever known .,1,"A significant outcome of the current situation is the large-scale migration of Africans seeking better opportunities in Europe. It is heartbreaking to witness numerous young individuals perish while attempting to traverse the Sahara and Mediterranean in search of a better life. It’s distressing to see images on our screens of countless immigrants caught between the sea and fenced borders in Europe, unable to gain entry. What drives them to leave their homes? Why can’t they remain where they are? This is indeed a pressing question. They are escaping from poorly managed economies that had the potential to thrive; they are fleeing years of ineffective governance that has led to some of the most detrimental policies seen globally."
765,@@1873485,vulnerable,ng,"Finally , there seems to be a ray of hope for the poor and the vulnerable in Nigeria 's rural communities as far as health care services are concerned . An estimated 70 per cent of Nigeria 's population who live in the rural areas are said to have higher disease burden , lower income , and are in most need of protection .",1,"At last, there appears to be a glimmer of hope for the impoverished and vulnerable populations in Nigeria's rural areas regarding healthcare services. It is estimated that about 70 percent of Nigeria's population residing in these rural regions faces a greater burden of disease, lower income levels, and a pressing need for support."
795,@@3152548,homeless,us,"Ciera Dunlap , 25 , has spent much of her life caught in the throes of uncertainty , as a homeless youth and living without a guardian in Baltimore City .",1,"Ciera Dunlap, 25, has faced much of her life enveloped in uncertainty, having experienced homelessness and living without a guardian in Baltimore City."
798,@@2577871,homeless,sg,"I have a dream journal . Sometimes , I create ads from dreams . Yellow Man for DiGi being one of them . Is that considered weird ? I 've also dressed up as a homeless man for a shoot once , but decided to stay like that for a few more hours after experiencing being ignored and feeling invisible . It was an eye opener .",1,"I keep a dream journal, and occasionally, I turn my dreams into advertisements, like the Yellow Man for DiGi. Is that strange? I once dressed as a homeless person for a shoot and chose to remain that way for a few extra hours. It was a revealing experience, as I felt ignored and invisible."
817,@@7532054,poor-families,sg,"From his personal story and real-life encounters with poor families , manpower correspondent Toh Yong Chuan suggested shifting the focus from poor parents who repeatedly make bad decisions to their children ( "" Lifting families out of poverty : Focus on the children ; last Thursday ) .",1,"Based on his personal experiences and interactions with impoverished families, manpower correspondent Toh Yong Chuan proposed a shift in focus from the poor parents who often make poor choices to their children (""Lifting families out of poverty: Focus on the children; last Thursday"")."
821,@@25280012,refugee,tz,""" We have a wave of refugees fleeing wars and hunger , war and hunger in so many countries of Africa , wars and persecution in the Middle East , "" he said , congratulating in particular Italy and Greece which had been "" extremely generous "" in their welcome , just like Turkey or Lebanon .",1,"""We are witnessing a surge of refugees escaping from conflicts and famine in numerous African nations, as well as from wars and persecution in the Middle East,"" he stated, particularly praising Italy and Greece for their ""incredibly generous"" hospitality, along with Turkey and Lebanon."
822,@@7718183,in-need,lk,"These unfortunately reach limited numbers because budgets have of necessity to be restricted . Within our society , on our birthdays and in remembrance of our relatives who have passed on , we follow a tradition of giving alms as meals to people in residential homes and donate gifts to individuals . The state and society both see them as in need of ' social services ' synonymous with ' charity ' . This has been the situation in Sri Lanka for many decades . People with disabilities are beneficiaries of goodwill and charity .",1,"Regrettably, these initiatives are limited in scope due to necessary budget constraints. In our culture, we observe a tradition of providing meals as alms to those in residential care and giving gifts to individuals on our birthdays and in memory of our deceased loved ones. Both the state and society view these individuals as requiring 'social services,' which are often equated with 'charity.' This has been the reality in Sri Lanka for many years. People with disabilities rely on acts of goodwill and charity."
845,@@60012808,vulnerable,pk,"In her tweet , Reham highlighted how a ' real leader ' should protect the vulnerable communities .",1,"In her tweet, Reham emphasized that a true leader ought to safeguard the vulnerable communities."
846,@@1768556,homeless,ca,"He reveals that Coach 's Corner host Ron MacLean ca n't pass by a busker or homeless person without opening up his wallet , and that the Winnipeg Jets launched a lawsuit against him after he said the team 's new assistant coach Alpo Suhonen 's first name sounded like "" dog food . """,1,"He shares that Ron MacLean, the host of Coach's Corner, cannot walk past a busker or a homeless individual without reaching for his wallet. Additionally, he mentions that the Winnipeg Jets filed a lawsuit against him after he remarked that the first name of the team's new assistant coach, Alpo Suhonen, sounded like ""dog food."""
